variant,4-1,4-2,4-3,total_pnl,trade_count,max_drawdown,final_positions,product_pnl_by_day,log_path,returncode,elapsed_sec,notes
01_current_all_features,13494.0,7520.0,32936.0,53950.0,4802,1373.5,"{""HYDROGEL_PACK"": 3, ""VELVETFRUIT_EXTRACT"": -1, ""VEV_4000"": 3, ""VEV_5000"": 1, ""VEV_5100"": 0, ""VEV_5200"": -14, ""VEV_5300"": 5, ""VEV_5400"": 6, ""VEV_5500"": 7, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10873.0, ""VELVETFRUIT_EXTRACT"": 1666.0, ""VEV_4000"": 1886.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": -18.0, ""VEV_5200"": -1701.0, ""VEV_5300"": 512.0, ""VEV_5400"": 254.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4667.0, ""VELVETFRUIT_EXTRACT"": 2080.0, ""VEV_4000"": 1525.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -754.0, ""VEV_5300"": 65.0, ""VEV_5400"": -88.0, ""VEV_5500"": 5.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9766.0, ""VELVETFRUIT_EXTRACT"": 1903.0, ""VEV_4000"": 1640.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": -1600.0, ""VEV_5300"": 163.0, ""VEV_5400"": -22.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-37-06.log,0,14.885,current trader.py
02_disable_dynamic_edges,14236.0,6305.0,30326.0,50867.0,6645,2531.5,"{""HYDROGEL_PACK"": 16, ""VELVETFRUIT_EXTRACT"": 2, ""VEV_4000"": 3, ""VEV_5000"": 1, ""VEV_5100"": -7, ""VEV_5200"": -16, ""VEV_5300"": 3, ""VEV_5400"": -2, ""VEV_5500"": 14, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 12642.0, ""VELVETFRUIT_EXTRACT"": 1781.0, ""VEV_4000"": 1886.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": -432.0, ""VEV_5200"": -1653.0, ""VEV_5300"": -14.0, ""VEV_5400"": 3.0, ""VEV_5500"": 2.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4336.0, ""VELVETFRUIT_EXTRACT"": 2033.0, ""VEV_4000"": 1525.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -1097.0, ""VEV_5300"": -378.0, ""VEV_5400"": -136.0, ""VEV_5500"": 2.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 8322.0, ""VELVETFRUIT_EXTRACT"": 2370.0, ""VEV_4000"": 1640.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": -2156.0, ""VEV_5300"": -178.0, ""VEV_5400"": -286.0, ""VEV_5500"": 1.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-37-22.log,0,14.834,
03_disable_adverse_selection_filter,13659.0,8032.0,33822.0,55513.0,4847,1376.0,"{""HYDROGEL_PACK"": 2, ""VELVETFRUIT_EXTRACT"": -5, ""VEV_4000"": 2, ""VEV_5000"": 1, ""VEV_5100"": 0, ""VEV_5200"": -12, ""VEV_5300"": 6, ""VEV_5400"": 6, ""VEV_5500"": 8, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10905.0, ""VELVETFRUIT_EXTRACT"": 1827.0, ""VEV_4000"": 1815.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": -18.0, ""VEV_5200"": -1678.0, ""VEV_5300"": 554.0, ""VEV_5400"": 231.0, ""VEV_5500"": 3.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 5089.0, ""VELVETFRUIT_EXTRACT"": 1964.0, ""VEV_4000"": 1606.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -664.0, ""VEV_5300"": 100.0, ""VEV_5400"": -88.0, ""VEV_5500"": 5.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9384.0, ""VELVETFRUIT_EXTRACT"": 2364.0, ""VEV_4000"": 1874.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": -1695.0, ""VEV_5300"": 154.0, ""VEV_5400"": -22.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-37-38.log,0,15.143,
04_disable_velvet_hedge_pressure,13716.0,7506.0,32867.0,54089.0,4809,1394.5,"{""HYDROGEL_PACK"": 3, ""VELVETFRUIT_EXTRACT"": -3, ""VEV_4000"": 3, ""VEV_5000"": 1, ""VEV_5100"": 0, ""VEV_5200"": -14, ""VEV_5300"": 5, ""VEV_5400"": 6, ""VEV_5500"": 7, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10873.0, ""VELVETFRUIT_EXTRACT"": 1866.0, ""VEV_4000"": 1886.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": -18.0, ""VEV_5200"": -1650.0, ""VEV_5300"": 484.0, ""VEV_5400"": 254.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4667.0, ""VELVETFRUIT_EXTRACT"": 2094.0, ""VEV_4000"": 1525.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -813.0, ""VEV_5300"": 64.0, ""VEV_5400"": -55.0, ""VEV_5500"": 5.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9766.0, ""VELVETFRUIT_EXTRACT"": 1649.0, ""VEV_4000"": 1640.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": -1627.0, ""VEV_5300"": 161.0, ""VEV_5400"": -17.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-37-54.log,0,14.842,
05_disable_residual_z,14066.0,7996.0,34360.0,56422.0,4090,1378.5,"{""HYDROGEL_PACK"": 3, ""VELVETFRUIT_EXTRACT"": 2, ""VEV_4000"": 3, ""VEV_5000"": 1, ""VEV_5100"": 1, ""VEV_5200"": -16, ""VEV_5300"": 9, ""VEV_5400"": -1, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10873.0, ""VELVETFRUIT_EXTRACT"": 1921.0, ""VEV_4000"": 1886.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -1507.0, ""VEV_5300"": 626.0, ""VEV_5400"": 244.0, ""VEV_5500"": 2.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4667.0, ""VELVETFRUIT_EXTRACT"": 1956.0, ""VEV_4000"": 1525.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -573.0, ""VEV_5300"": 279.0, ""VEV_5400"": 120.0, ""VEV_5500"": 3.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9766.0, ""VELVETFRUIT_EXTRACT"": 2067.0, ""VEV_4000"": 1640.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": -1338.0, ""VEV_5300"": 206.0, ""VEV_5400"": -114.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-38-10.log,0,14.819,
06_disable_flow,13494.0,7520.0,32936.0,53950.0,4802,1373.5,"{""HYDROGEL_PACK"": 3, ""VELVETFRUIT_EXTRACT"": -1, ""VEV_4000"": 3, ""VEV_5000"": 1, ""VEV_5100"": 0, ""VEV_5200"": -14, ""VEV_5300"": 5, ""VEV_5400"": 6, ""VEV_5500"": 7, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10873.0, ""VELVETFRUIT_EXTRACT"": 1666.0, ""VEV_4000"": 1886.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": -18.0, ""VEV_5200"": -1701.0, ""VEV_5300"": 512.0, ""VEV_5400"": 254.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4667.0, ""VELVETFRUIT_EXTRACT"": 2080.0, ""VEV_4000"": 1525.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -754.0, ""VEV_5300"": 65.0, ""VEV_5400"": -88.0, ""VEV_5500"": 5.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9766.0, ""VELVETFRUIT_EXTRACT"": 1903.0, ""VEV_4000"": 1640.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": -1600.0, ""VEV_5300"": 163.0, ""VEV_5400"": -22.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-38-26.log,0,14.717,
07_disable_cheap_voucher_rule,13504.0,7664.0,33107.0,54275.0,4786,1371.5,"{""HYDROGEL_PACK"": 3, ""VELVETFRUIT_EXTRACT"": -2, ""VEV_4000"": 3, ""VEV_5000"": 1, ""VEV_5100"": 0, ""VEV_5200"": -13, ""VEV_5300"": 5, ""VEV_5400"": 3, ""VEV_5500"": 4, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10873.0, ""VELVETFRUIT_EXTRACT"": 1682.0, ""VEV_4000"": 1886.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": -18.0, ""VEV_5200"": -1656.0, ""VEV_5300"": 494.0, ""VEV_5400"": 201.0, ""VEV_5500"": 21.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4667.0, ""VELVETFRUIT_EXTRACT"": 2058.0, ""VEV_4000"": 1525.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -711.0, ""VEV_5300"": 80.0, ""VEV_5400"": 20.0, ""VEV_5500"": 5.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9766.0, ""VELVETFRUIT_EXTRACT"": 1883.0, ""VEV_4000"": 1640.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": -1698.0, ""VEV_5300"": 142.0, ""VEV_5400"": 133.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-38-42.log,0,14.709,
08_disable_endgame,13496.0,7604.0,33030.0,54130.0,4820,1373.5,"{""HYDROGEL_PACK"": 3, ""VELVETFRUIT_EXTRACT"": -1, ""VEV_4000"": 3, ""VEV_5000"": 1, ""VEV_5100"": 0, ""VEV_5200"": -12, ""VEV_5300"": -3, ""VEV_5400"": -14, ""VEV_5500"": 7, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10873.0, ""VELVETFRUIT_EXTRACT"": 1666.0, ""VEV_4000"": 1890.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": -18.0, ""VEV_5200"": -1701.0, ""VEV_5300"": 511.0, ""VEV_5400"": 254.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4755.0, ""VELVETFRUIT_EXTRACT"": 2080.0, ""VEV_4000"": 1525.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -758.0, ""VEV_5300"": 61.0, ""VEV_5400"": -83.0, ""VEV_5500"": 5.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9766.0, ""VELVETFRUIT_EXTRACT"": 1898.0, ""VEV_4000"": 1657.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": -1605.0, ""VEV_5300"": 163.0, ""VEV_5400"": -22.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-38-57.log,0,15.099,
09_disable_mr,12944.0,6341.0,30156.0,49441.0,4777,1303.5,"{""HYDROGEL_PACK"": 10, ""VELVETFRUIT_EXTRACT"": 3, ""VEV_4000"": 3, ""VEV_5000"": 1, ""VEV_5100"": 0, ""VEV_5200"": -14, ""VEV_5300"": 6, ""VEV_5400"": -13, ""VEV_5500"": 8, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10601.0, ""VELVETFRUIT_EXTRACT"": 1238.0, ""VEV_4000"": 1886.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": -18.0, ""VEV_5200"": -1611.0, ""VEV_5300"": 570.0, ""VEV_5400"": 254.0, ""VEV_5500"": 3.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 3629.0, ""VELVETFRUIT_EXTRACT"": 1598.0, ""VEV_4000"": 1525.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -510.0, ""VEV_5300"": 114.0, ""VEV_5400"": -40.0, ""VEV_5500"": 5.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 8895.0, ""VELVETFRUIT_EXTRACT"": 1758.0, ""VEV_4000"": 1640.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": -1632.0, ""VEV_5300"": 160.0, ""VEV_5400"": -22.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-39-14.log,0,15.541,
10_disable_delta_control,13594.0,8387.0,33886.0,55867.0,4846,1419.5,"{""HYDROGEL_PACK"": 3, ""VELVETFRUIT_EXTRACT"": 7, ""VEV_4000"": 3, ""VEV_5000"": 1, ""VEV_5100"": 1, ""VEV_5200"": -12, ""VEV_5300"": 12, ""VEV_5400"": -8, ""VEV_5500"": 7, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10873.0, ""VELVETFRUIT_EXTRACT"": 1714.0, ""VEV_4000"": 1886.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -1626.0, ""VEV_5300"": 471.0, ""VEV_5400"": 254.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4667.0, ""VELVETFRUIT_EXTRACT"": 2482.0, ""VEV_4000"": 1525.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -398.0, ""VEV_5300"": 106.0, ""VEV_5400"": -20.0, ""VEV_5500"": 5.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9766.0, ""VELVETFRUIT_EXTRACT"": 2077.0, ""VEV_4000"": 1640.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": -1762.0, ""VEV_5300"": 145.0, ""VEV_5400"": -32.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-39-30.log,0,15.96,
