variant,4-1,4-2,4-3,total_pnl,trade_count,max_drawdown,final_positions,product_pnl_by_day,log_path,returncode,elapsed_sec,notes
A_current_all_features,13494.0,7520.0,32936.0,53950.0,4802,1373.5,"{""HYDROGEL_PACK"": 3, ""VELVETFRUIT_EXTRACT"": -1, ""VEV_4000"": 3, ""VEV_5000"": 1, ""VEV_5100"": 0, ""VEV_5200"": -14, ""VEV_5300"": 5, ""VEV_5400"": 6, ""VEV_5500"": 7, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10873.0, ""VELVETFRUIT_EXTRACT"": 1666.0, ""VEV_4000"": 1886.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": -18.0, ""VEV_5200"": -1701.0, ""VEV_5300"": 512.0, ""VEV_5400"": 254.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4667.0, ""VELVETFRUIT_EXTRACT"": 2080.0, ""VEV_4000"": 1525.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -754.0, ""VEV_5300"": 65.0, ""VEV_5400"": -88.0, ""VEV_5500"": 5.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9766.0, ""VELVETFRUIT_EXTRACT"": 1903.0, ""VEV_4000"": 1640.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": -1600.0, ""VEV_5300"": 163.0, ""VEV_5400"": -22.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-34-56.log,0,15.514,"current trader.py, all latest flags"
B_simple_base,14930.0,6318.0,31982.0,53230.0,5772,2157.5,"{""HYDROGEL_PACK"": -17, ""VELVETFRUIT_EXTRACT"": 15, ""VEV_4000"": 0, ""VEV_5000"": 1, ""VEV_5100"": 0, ""VEV_5200"": -7, ""VEV_5300"": -9, ""VEV_5400"": -15, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 12958.0, ""VELVETFRUIT_EXTRACT"": 1296.0, ""VEV_4000"": 1846.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": -54.0, ""VEV_5200"": -1633.0, ""VEV_5300"": 161.0, ""VEV_5400"": 336.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 3318.0, ""VELVETFRUIT_EXTRACT"": 2203.0, ""VEV_4000"": 1606.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -764.0, ""VEV_5300"": -208.0, ""VEV_5400"": 140.0, ""VEV_5500"": 3.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 8612.0, ""VELVETFRUIT_EXTRACT"": 2164.0, ""VEV_4000"": 1873.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": -2024.0, ""VEV_5300"": -33.0, ""VEV_5400"": 70.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-35-13.log,0,14.013,basic fair/taker/maker/inventory only
C_original_intended_hybrid,15748.0,6716.0,33316.0,55780.0,5829,2558.0,"{""HYDROGEL_PACK"": 12, ""VELVETFRUIT_EXTRACT"": 3, ""VEV_4000"": 2, ""VEV_4500"": 1, ""VEV_5000"": 1, ""VEV_5100"": -2, ""VEV_5200"": -18, ""VEV_5300"": 3, ""VEV_5400"": -12, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 13149.0, ""VELVETFRUIT_EXTRACT"": 2110.0, ""VEV_4000"": 1815.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": -158.0, ""VEV_5200"": -1578.0, ""VEV_5300"": 270.0, ""VEV_5400"": 120.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4150.0, ""VELVETFRUIT_EXTRACT"": 2098.0, ""VEV_4000"": 1606.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -1028.0, ""VEV_5300"": -180.0, ""VEV_5400"": 47.0, ""VEV_5500"": 3.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 8548.0, ""VELVETFRUIT_EXTRACT"": 2446.0, ""VEV_4000"": 1856.0, ""VEV_4500"": 6.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": -1951.0, ""VEV_5300"": -5.0, ""VEV_5400"": -120.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-35-28.log,0,14.356,original intended hybrid feature set
D_vev_only_ladder,2660.0,2472.0,7130.0,12262.0,4846,583.5,"{""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 0, ""VEV_4500"": 1, ""VEV_5000"": 1, ""VEV_5100"": 1, ""VEV_5200"": -11, ""VEV_5300"": -10, ""VEV_5400"": -16, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 1772.0, ""VEV_4000"": 1846.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -1626.0, ""VEV_5300"": 229.0, ""VEV_5400"": 419.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 1898.0, ""VEV_4000"": 1606.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -953.0, ""VEV_5300"": -175.0, ""VEV_5400"": 72.0, ""VEV_5500"": 3.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 1963.0, ""VEV_4000"": 1873.0, ""VEV_4500"": 6.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": -1948.0, ""VEV_5300"": -20.0, ""VEV_5400"": 53.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-35-43.log,0,13.582,"VELVET + VEV ladder, simple execution"
E_only_HYDROGEL_PACK,12958.0,3318.0,24888.0,41164.0,906,2704.0,"{""HYDROGEL_PACK"": -17}","{""4-1"": {""HYDROGEL_PACK"": 12958.0, ""VELVETFRUIT_EXTRACT"": 0.0, ""VEV_4000"": 0.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-2"": {""HYDROGEL_PACK"": 3318.0, ""VELVETFRUIT_EXTRACT"": 0.0, ""VEV_4000"": 0.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-3"": {""HYDROGEL_PACK"": 8612.0, ""VELVETFRUIT_EXTRACT"": 0.0, ""VEV_4000"": 0.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-35-58.log,0,8.681,product isolation
E_only_VELVETFRUIT_EXTRACT,1368.0,1902.0,5334.0,8604.0,925,619.5,"{""VELVETFRUIT_EXTRACT"": 6}","{""4-1"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 1368.0, ""VEV_4000"": 0.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-2"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 1902.0, ""VEV_4000"": 0.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-3"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 2063.0, ""VEV_4000"": 0.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-36-07.log,0,8.802,product isolation
E_only_VEV_4000_4500,1846.0,1606.0,5324.0,8776.0,437,399.0,"{""VEV_4000"": 0}","{""4-1"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 0.0, ""VEV_4000"": 1846.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-2"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 0.0, ""VEV_4000"": 1606.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-3"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 0.0, ""VEV_4000"": 1873.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-36-17.log,0,9.475,product isolation
E_only_VEV_5000_5300,-1506.0,-1006.0,-4420.0,-6932.0,3292,1960.0,"{""VEV_5000"": 1, ""VEV_5100"": 1, ""VEV_5200"": -8, ""VEV_5300"": -8}","{""4-1"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 0.0, ""VEV_4000"": 0.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -1718.0, ""VEV_5300"": 212.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-2"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 0.0, ""VEV_4000"": 0.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -806.0, ""VEV_5300"": -200.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-3"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 0.0, ""VEV_4000"": 0.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": -1948.0, ""VEV_5300"": -11.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-36-27.log,0,10.854,product isolation
E_only_VEV_5400_5500,352.0,141.0,563.0,1056.0,90,76.0,"{""VEV_5400"": -13, ""VEV_5500"": 5}","{""4-1"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 0.0, ""VEV_4000"": 0.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 351.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-2"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 0.0, ""VEV_4000"": 0.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 138.0, ""VEV_5500"": 3.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-3"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 0.0, ""VEV_4000"": 0.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 70.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-36-39.log,0,9.078,product isolation
E_only_VEV_6000_6500,20.0,20.0,60.0,100.0,60,0.0,"{""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 0.0, ""VEV_4000"": 0.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 0.0, ""VEV_4000"": 0.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 0.0, ""VEV_4000"": 0.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-36-49.log,0,8.537,product isolation
