variant,4-1,4-2,4-3,total_pnl,trade_count,max_drawdown,final_positions,product_pnl_by_day,log_path,returncode,elapsed_sec,notes
C1_maker_only_current,14404.0,7706.0,34833.0,56943.0,2147,1272.0,"{""HYDROGEL_PACK"": 16, ""VELVETFRUIT_EXTRACT"": -3, ""VEV_4000"": 3, ""VEV_5000"": 1, ""VEV_5100"": 1, ""VEV_5200"": 7, ""VEV_5300"": 44, ""VEV_5400"": 14, ""VEV_5500"": 7, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10710.0, ""VELVETFRUIT_EXTRACT"": 1641.0, ""VEV_4000"": 1886.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 147.0, ""VEV_5400"": 15.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 3976.0, ""VELVETFRUIT_EXTRACT"": 1978.0, ""VEV_4000"": 1525.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 160.0, ""VEV_5400"": 42.0, ""VEV_5500"": 5.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9410.0, ""VELVETFRUIT_EXTRACT"": 1715.0, ""VEV_4000"": 1640.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 12.0, ""VEV_5300"": -118.0, ""VEV_5400"": -8.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-41-52.log,0,14.391,
C2_maker_only_no_residual,14406.0,7722.0,34853.0,56981.0,2142,1273.0,"{""HYDROGEL_PACK"": 16, ""VELVETFRUIT_EXTRACT"": -3, ""VEV_4000"": 3, ""VEV_5000"": 1, ""VEV_5100"": 1, ""VEV_5200"": 7, ""VEV_5300"": 44, ""VEV_5400"": 11, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10710.0, ""VELVETFRUIT_EXTRACT"": 1641.0, ""VEV_4000"": 1886.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 149.0, ""VEV_5400"": 13.0, ""VEV_5500"": 2.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 3976.0, ""VELVETFRUIT_EXTRACT"": 2020.0, ""VEV_4000"": 1525.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 142.0, ""VEV_5400"": 36.0, ""VEV_5500"": 3.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9410.0, ""VELVETFRUIT_EXTRACT"": 1710.0, ""VEV_4000"": 1640.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 14.0, ""VEV_5300"": -116.0, ""VEV_5400"": -4.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-42-07.log,0,14.332,
C3_maker_only_no_adverse,14682.0,7838.0,35941.0,58461.0,2177,1351.0,"{""HYDROGEL_PACK"": 15, ""VELVETFRUIT_EXTRACT"": 0, ""VEV_4000"": 2, ""VEV_5000"": 1, ""VEV_5100"": 1, ""VEV_5200"": 7, ""VEV_5300"": 46, ""VEV_5400"": 14, ""VEV_5500"": 8, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10926.0, ""VELVETFRUIT_EXTRACT"": 1772.0, ""VEV_4000"": 1815.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 147.0, ""VEV_5400"": 15.0, ""VEV_5500"": 3.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4176.0, ""VELVETFRUIT_EXTRACT"": 1828.0, ""VEV_4000"": 1606.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 160.0, ""VEV_5400"": 42.0, ""VEV_5500"": 5.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9674.0, ""VELVETFRUIT_EXTRACT"": 1943.0, ""VEV_4000"": 1874.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 12.0, ""VEV_5300"": -146.0, ""VEV_5400"": -8.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-42-22.log,0,14.159,
C4_maker_only_no_delta,14342.0,8210.0,35636.0,58188.0,2231,1300.0,"{""HYDROGEL_PACK"": 16, ""VELVETFRUIT_EXTRACT"": 7, ""VEV_4000"": 3, ""VEV_5000"": 1, ""VEV_5100"": 1, ""VEV_5200"": 7, ""VEV_5300"": 48, ""VEV_5400"": 14, ""VEV_5500"": 7, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10710.0, ""VELVETFRUIT_EXTRACT"": 1566.0, ""VEV_4000"": 1886.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 159.0, ""VEV_5400"": 15.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 3976.0, ""VELVETFRUIT_EXTRACT"": 2482.0, ""VEV_4000"": 1525.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 160.0, ""VEV_5400"": 42.0, ""VEV_5500"": 5.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9410.0, ""VELVETFRUIT_EXTRACT"": 2077.0, ""VEV_4000"": 1640.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 12.0, ""VEV_5300"": -118.0, ""VEV_5400"": -8.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-42-38.log,0,14.163,
C5_maker_only_no_residual_no_adverse,14699.0,7862.0,35888.0,58449.0,2173,1339.0,"{""HYDROGEL_PACK"": 15, ""VELVETFRUIT_EXTRACT"": -1, ""VEV_4000"": 2, ""VEV_4500"": 1, ""VEV_5000"": 1, ""VEV_5100"": 1, ""VEV_5200"": 5, ""VEV_5300"": 44, ""VEV_5400"": 10, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10926.0, ""VELVETFRUIT_EXTRACT"": 1789.0, ""VEV_4000"": 1815.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 149.0, ""VEV_5400"": 13.0, ""VEV_5500"": 2.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4176.0, ""VELVETFRUIT_EXTRACT"": 1858.0, ""VEV_4000"": 1606.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 174.0, ""VEV_5400"": 25.0, ""VEV_5500"": 3.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9674.0, ""VELVETFRUIT_EXTRACT"": 1872.0, ""VEV_4000"": 1856.0, ""VEV_4500"": 6.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": -8.0, ""VEV_5300"": -140.0, ""VEV_5400"": -4.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-42-53.log,0,14.028,
C6_maker_only_no_residual_no_delta,14334.0,8206.0,35601.0,58141.0,2222,1301.0,"{""HYDROGEL_PACK"": 16, ""VELVETFRUIT_EXTRACT"": 7, ""VEV_4000"": 3, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 7, ""VEV_5300"": 44, ""VEV_5400"": 11, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10710.0, ""VELVETFRUIT_EXTRACT"": 1566.0, ""VEV_4000"": 1886.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 149.0, ""VEV_5400"": 16.0, ""VEV_5500"": 2.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 3976.0, ""VELVETFRUIT_EXTRACT"": 2482.0, ""VEV_4000"": 1525.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 162.0, ""VEV_5400"": 38.0, ""VEV_5500"": 3.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9410.0, ""VELVETFRUIT_EXTRACT"": 2077.0, ""VEV_4000"": 1640.0, ""VEV_4500"": 0.0, ""VEV_5000"": 10.0, ""VEV_5100"": 5.0, ""VEV_5200"": 12.0, ""VEV_5300"": -108.0, ""VEV_5400"": -6.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-43-08.log,0,14.16,
C7_maker_only_no_adverse_no_delta,14615.0,8532.0,36819.0,59966.0,2255,1387.0,"{""HYDROGEL_PACK"": 15, ""VELVETFRUIT_EXTRACT"": 5, ""VEV_4000"": 2, ""VEV_5000"": 1, ""VEV_5100"": 1, ""VEV_5200"": 7, ""VEV_5300"": 48, ""VEV_5400"": 14, ""VEV_5500"": 7, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10926.0, ""VELVETFRUIT_EXTRACT"": 1695.0, ""VEV_4000"": 1815.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 159.0, ""VEV_5400"": 15.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4176.0, ""VELVETFRUIT_EXTRACT"": 2523.0, ""VEV_4000"": 1606.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 160.0, ""VEV_5400"": 42.0, ""VEV_5500"": 5.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9674.0, ""VELVETFRUIT_EXTRACT"": 2198.0, ""VEV_4000"": 1874.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 12.0, ""VEV_5300"": -150.0, ""VEV_5400"": -8.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-43-23.log,0,14.053,
C8_maker_only_no_residual_no_adverse_no_delta,14608.0,8528.0,36766.0,59902.0,2247,1388.0,"{""HYDROGEL_PACK"": 15, ""VELVETFRUIT_EXTRACT"": 5, ""VEV_4000"": 2, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 7, ""VEV_5300"": 44, ""VEV_5400"": 11, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10926.0, ""VELVETFRUIT_EXTRACT"": 1695.0, ""VEV_4000"": 1815.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 149.0, ""VEV_5400"": 16.0, ""VEV_5500"": 2.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4176.0, ""VELVETFRUIT_EXTRACT"": 2523.0, ""VEV_4000"": 1606.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 162.0, ""VEV_5400"": 38.0, ""VEV_5500"": 3.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9674.0, ""VELVETFRUIT_EXTRACT"": 2198.0, ""VEV_4000"": 1856.0, ""VEV_4500"": 0.0, ""VEV_5000"": 10.0, ""VEV_5100"": 5.0, ""VEV_5200"": 12.0, ""VEV_5300"": -140.0, ""VEV_5400"": -6.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-43-38.log,0,14.051,
C9_maker_only_no_cheap_rule,14404.0,7706.0,34833.0,56943.0,2147,1272.0,"{""HYDROGEL_PACK"": 16, ""VELVETFRUIT_EXTRACT"": -3, ""VEV_4000"": 3, ""VEV_5000"": 1, ""VEV_5100"": 1, ""VEV_5200"": 7, ""VEV_5300"": 44, ""VEV_5400"": 14, ""VEV_5500"": 7, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10710.0, ""VELVETFRUIT_EXTRACT"": 1641.0, ""VEV_4000"": 1886.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 147.0, ""VEV_5400"": 15.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 3976.0, ""VELVETFRUIT_EXTRACT"": 1978.0, ""VEV_4000"": 1525.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 160.0, ""VEV_5400"": 42.0, ""VEV_5500"": 5.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9410.0, ""VELVETFRUIT_EXTRACT"": 1715.0, ""VEV_4000"": 1640.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 12.0, ""VEV_5300"": -118.0, ""VEV_5400"": -8.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-43-53.log,0,14.27,
C10_maker_only_no_endgame,14405.0,7802.0,34978.0,57185.0,2153,1272.0,"{""HYDROGEL_PACK"": 12, ""VELVETFRUIT_EXTRACT"": -7, ""VEV_4000"": 3, ""VEV_5000"": 1, ""VEV_5100"": 1, ""VEV_5200"": 7, ""VEV_5300"": 44, ""VEV_5400"": 14, ""VEV_5500"": 7, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10710.0, ""VELVETFRUIT_EXTRACT"": 1638.0, ""VEV_4000"": 1890.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 147.0, ""VEV_5400"": 15.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4072.0, ""VELVETFRUIT_EXTRACT"": 1978.0, ""VEV_4000"": 1525.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 160.0, ""VEV_5400"": 42.0, ""VEV_5500"": 5.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9410.0, ""VELVETFRUIT_EXTRACT"": 1747.0, ""VEV_4000"": 1657.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 12.0, ""VEV_5300"": -118.0, ""VEV_5400"": -8.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-44-08.log,0,14.273,
