variant,4-1,4-2,4-3,total_pnl,trade_count,max_drawdown,final_positions,product_pnl_by_day,log_path,variant_file,returncode,elapsed_sec,notes
HY_current_best,18574.0,10070.0,16788.0,45432.0,2407,1811.0,"{""HYDROGEL_PACK"": 13, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 14153.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4535.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11727.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-11-22.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\HY_current_best.py,0,15.43,
HY_size_6,18574.0,10070.0,16788.0,45432.0,2407,1811.0,"{""HYDROGEL_PACK"": 13, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 14153.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4535.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11727.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-11-39.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\HY_size_6.py,0,15.096,
HY_size_7,18574.0,10070.0,16788.0,45432.0,2407,1811.0,"{""HYDROGEL_PACK"": 13, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 14153.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4535.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11727.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-11-55.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\HY_size_7.py,0,15.245,
HY_size_8,18574.0,10070.0,16788.0,45432.0,2407,1811.0,"{""HYDROGEL_PACK"": 13, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 14153.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4535.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11727.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-12-11.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\HY_size_8.py,0,15.104,
HY_size_10,18574.0,10070.0,16788.0,45432.0,2407,1811.0,"{""HYDROGEL_PACK"": 13, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 14153.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4535.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11727.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-12-27.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\HY_size_10.py,0,15.462,
HY_edge_0.45,18555.0,10152.0,16742.0,45449.0,2431,1847.0,"{""HYDROGEL_PACK"": 15, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 14134.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4616.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11681.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-12-44.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\HY_edge_0_45.py,0,15.175,
HY_edge_0.5,18739.0,10284.0,16775.0,45798.0,2425,1843.0,"{""HYDROGEL_PACK"": 16, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 14318.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4748.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11714.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-13-00.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\HY_edge_0_5.py,0,15.421,
HY_edge_0.55,18485.0,10076.0,16762.0,45323.0,2417,1843.0,"{""HYDROGEL_PACK"": 16, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 14064.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4540.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11701.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-13-16.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\HY_edge_0_55.py,0,15.202,
HY_edge_0.6,18574.0,10070.0,16788.0,45432.0,2407,1811.0,"{""HYDROGEL_PACK"": 13, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 14153.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4535.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11727.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-13-32.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\HY_edge_0_6.py,0,15.212,
HY_mr_entry_1.0,18751.0,10242.0,16918.0,45911.0,2403,1811.0,"{""HYDROGEL_PACK"": 14, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 14330.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4707.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11857.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-13-49.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\HY_mr_entry_1_0.py,0,15.324,
