variant,4-1,4-2,4-3,total_pnl,trade_count,max_drawdown,final_positions,product_pnl_by_day,log_path,variant_file,returncode,elapsed_sec,notes
PRESET_current_best,18574.0,10070.0,16788.0,45432.0,2407,1811.0,"{""HYDROGEL_PACK"": 13, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 14153.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4535.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11727.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-07-21.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\PRESET_current_best.py,0,15.04,
PRESET_core_three_only,18330.0,10140.0,17108.0,45578.0,2339,1829.0,"{""HYDROGEL_PACK"": 16, ""VELVETFRUIT_EXTRACT"": 3, ""VEV_4000"": 14}","{""4-1"": {""HYDROGEL_PACK"": 14064.0, ""VELVETFRUIT_EXTRACT"": 1349.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-2"": {""HYDROGEL_PACK"": 4540.0, ""VELVETFRUIT_EXTRACT"": 3292.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-3"": {""HYDROGEL_PACK"": 11701.0, ""VELVETFRUIT_EXTRACT"": 2728.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-07-37.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\PRESET_core_three_only.py,0,10.387,
PRESET_hydro_only,14153.0,4535.0,11727.0,30415.0,817,1750.0,"{""HYDROGEL_PACK"": 13}","{""4-1"": {""HYDROGEL_PACK"": 14153.0, ""VELVETFRUIT_EXTRACT"": 0.0, ""VEV_4000"": 0.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-2"": {""HYDROGEL_PACK"": 4535.0, ""VELVETFRUIT_EXTRACT"": 0.0, ""VEV_4000"": 0.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-3"": {""HYDROGEL_PACK"": 11727.0, ""VELVETFRUIT_EXTRACT"": 0.0, ""VEV_4000"": 0.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-07-48.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\PRESET_hydro_only.py,0,8.951,
PRESET_velvet_only,1457.0,2886.0,2448.0,6791.0,1059,773.0,"{""VELVETFRUIT_EXTRACT"": 8}","{""4-1"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 0.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-2"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 0.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-3"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 0.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-07-58.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\PRESET_velvet_only.py,0,8.797,
PRESET_vev4000_only,2916.0,2308.0,2679.0,7903.0,424,909.0,"{""VEV_4000"": 14}","{""4-1"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 0.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-2"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 0.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-3"": {""HYDROGEL_PACK"": 0.0, ""VELVETFRUIT_EXTRACT"": 0.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-08-08.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\PRESET_vev4000_only.py,0,9.027,
PRESET_hydro_velvet_vev4000,18526.0,9728.0,16854.0,45108.0,2300,1815.0,"{""HYDROGEL_PACK"": 13, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14}","{""4-1"": {""HYDROGEL_PACK"": 14153.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-2"": {""HYDROGEL_PACK"": 4535.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-3"": {""HYDROGEL_PACK"": 11727.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-08-18.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\PRESET_hydro_velvet_vev4000.py,0,11.646,
PRESET_core_plus_deep_vev,18526.0,9728.0,16854.0,45108.0,2300,1815.0,"{""HYDROGEL_PACK"": 13, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14}","{""4-1"": {""HYDROGEL_PACK"": 14153.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-2"": {""HYDROGEL_PACK"": 4535.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-3"": {""HYDROGEL_PACK"": 11727.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-08-30.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\PRESET_core_plus_deep_vev.py,0,11.278,
PRESET_core_plus_atm_vev,18536.0,9870.0,16788.0,45194.0,2330,1813.0,"{""HYDROGEL_PACK"": 13, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5200"": 1, ""VEV_5300"": 25}","{""4-1"": {""HYDROGEL_PACK"": 14153.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 25.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-2"": {""HYDROGEL_PACK"": 4535.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 28.0, ""VEV_5300"": 114.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-3"": {""HYDROGEL_PACK"": 11727.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -21.0, ""VEV_5300"": -45.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-08-43.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\PRESET_core_plus_atm_vev.py,0,11.774,
PRESET_full_static_ladder,18574.0,10070.0,16788.0,45432.0,2407,1811.0,"{""HYDROGEL_PACK"": 13, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 14153.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4535.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 11727.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-08-55.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\PRESET_full_static_ladder.py,0,15.127,
PRESET_conservative_core,17490.0,8294.0,16110.0,41894.0,2281,1812.0,"{""HYDROGEL_PACK"": 14, ""VELVETFRUIT_EXTRACT"": 4, ""VEV_4000"": 15}","{""4-1"": {""HYDROGEL_PACK"": 13579.0, ""VELVETFRUIT_EXTRACT"": 1214.0, ""VEV_4000"": 2698.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-2"": {""HYDROGEL_PACK"": 4065.0, ""VELVETFRUIT_EXTRACT"": 2068.0, ""VEV_4000"": 2160.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}, ""4-3"": {""HYDROGEL_PACK"": 11653.0, ""VELVETFRUIT_EXTRACT"": 2020.0, ""VEV_4000"": 2437.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 0.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 0.0, ""VEV_6500"": 0.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-09-11.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\PRESET_conservative_core.py,0,10.907,
