variant,4-1,4-2,4-3,total_pnl,trade_count,max_drawdown,final_positions,product_pnl_by_day,log_path,variant_file,returncode,elapsed_sec,notes
VEL_current_best,20755.0,12518.0,18607.0,51880.0,2386,1820.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 16334.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 6983.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 13546.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-58-54.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\VEL_current_best.py,0,16.581,
VEL_size_4,20755.0,12518.0,18607.0,51880.0,2386,1820.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 16334.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 6983.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 13546.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-59-11.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\VEL_size_4.py,0,16.15,
VEL_size_5,20714.0,12664.0,18921.0,52299.0,2373,1827.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 6, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 16334.0, ""VELVETFRUIT_EXTRACT"": 1416.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 6983.0, ""VELVETFRUIT_EXTRACT"": 3030.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 13546.0, ""VELVETFRUIT_EXTRACT"": 2762.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-59-28.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\VEL_size_5.py,0,15.312,
VEL_size_6,20865.0,12822.0,18840.0,52527.0,2356,1827.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 1, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 16334.0, ""VELVETFRUIT_EXTRACT"": 1567.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 6983.0, ""VELVETFRUIT_EXTRACT"": 3189.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 13546.0, ""VELVETFRUIT_EXTRACT"": 2681.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-59-45.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\VEL_size_6.py,0,15.129,
VEL_edge_0.55,20612.0,12452.0,18548.0,51612.0,2444,1875.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 6, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 16334.0, ""VELVETFRUIT_EXTRACT"": 1314.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 6983.0, ""VELVETFRUIT_EXTRACT"": 2818.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 13546.0, ""VELVETFRUIT_EXTRACT"": 2389.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_03-00-01.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\VEL_edge_0_55.py,0,15.444,
VEL_edge_0.6,20479.0,12338.0,18676.0,51493.0,2433,1812.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 7, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 16334.0, ""VELVETFRUIT_EXTRACT"": 1181.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 6983.0, ""VELVETFRUIT_EXTRACT"": 2704.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 13546.0, ""VELVETFRUIT_EXTRACT"": 2517.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_03-00-17.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\VEL_edge_0_6.py,0,15.366,
VEL_edge_0.65,20426.0,12382.0,18398.0,51206.0,2412,1820.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 7, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 16334.0, ""VELVETFRUIT_EXTRACT"": 1128.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 6983.0, ""VELVETFRUIT_EXTRACT"": 2748.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 13546.0, ""VELVETFRUIT_EXTRACT"": 2239.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_03-00-33.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\VEL_edge_0_65.py,0,15.028,
VEL_edge_0.75,20755.0,12518.0,18607.0,51880.0,2386,1820.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 16334.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 6983.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 13546.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_03-00-50.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\VEL_edge_0_75.py,0,15.034,
VEL_mr_entry_1.5,20668.0,12598.0,18603.0,51869.0,2381,1840.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 3, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 16334.0, ""VELVETFRUIT_EXTRACT"": 1370.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 6983.0, ""VELVETFRUIT_EXTRACT"": 2966.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 13546.0, ""VELVETFRUIT_EXTRACT"": 2444.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_03-01-06.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\VEL_mr_entry_1_5.py,0,15.123,
VEL_mr_entry_1.75,20755.0,12518.0,18607.0,51880.0,2386,1820.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 16334.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 6983.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 13546.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_03-01-22.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\VEL_mr_entry_1_75.py,0,15.323,
