variant,4-1,4-2,4-3,total_pnl,trade_count,max_drawdown,final_positions,product_pnl_by_day,log_path,variant_file,returncode,elapsed_sec,notes
V4000_current_best,20755.0,12518.0,18607.0,51880.0,2386,1820.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 16334.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 6983.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 13546.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-47-38.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\V4000_current_best.py,0,15.09,
V4000_size_3,20755.0,12518.0,18607.0,51880.0,2386,1820.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 16334.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 6983.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 13546.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-47-54.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\V4000_size_3.py,0,15.151,
V4000_size_4,20755.0,12518.0,18607.0,51880.0,2386,1820.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 16334.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 6983.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 13546.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-48-10.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\V4000_size_4.py,0,15.12,
V4000_size_5,20755.0,12518.0,18607.0,51880.0,2386,1820.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 16334.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 6983.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 13546.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-48-26.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\V4000_size_5.py,0,15.094,
V4000_edge_0.4,20755.0,12518.0,18625.0,51898.0,2387,1820.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 17, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 16334.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 6983.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 13546.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2697.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-48-42.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\V4000_edge_0_4.py,0,14.993,
V4000_edge_0.45,20755.0,12518.0,18607.0,51880.0,2386,1820.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 16334.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 6983.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 13546.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-48-58.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\V4000_edge_0_45.py,0,15.12,
V4000_edge_0.5,20755.0,12518.0,18607.0,51880.0,2386,1820.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 16334.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 6983.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 13546.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-49-14.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\V4000_edge_0_5.py,0,15.239,
V4000_edge_0.55,20755.0,12518.0,18607.0,51880.0,2386,1820.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 16334.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 6983.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 13546.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-49-30.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\V4000_edge_0_55.py,0,15.292,
V4000_edge_0.6,20755.0,12518.0,18607.0,51880.0,2386,1820.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 16334.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 6983.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 13546.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-49-47.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\V4000_edge_0_6.py,0,15.038,
V4000_quote_hybrid,20755.0,12518.0,18607.0,51880.0,2386,1820.0,"{""HYDROGEL_PACK"": 19, ""VELVETFRUIT_EXTRACT"": 8, ""VEV_4000"": 14, ""VEV_5000"": 2, ""VEV_5100"": 2, ""VEV_5200"": 2, ""VEV_5300"": 30, ""VEV_5400"": 20, ""VEV_5500"": 5, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 16334.0, ""VELVETFRUIT_EXTRACT"": 1457.0, ""VEV_4000"": 2916.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 43.0, ""VEV_5400"": 0.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 6983.0, ""VELVETFRUIT_EXTRACT"": 2886.0, ""VEV_4000"": 2308.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 56.0, ""VEV_5300"": 228.0, ""VEV_5400"": 38.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 13546.0, ""VELVETFRUIT_EXTRACT"": 2448.0, ""VEV_4000"": 2679.0, ""VEV_4500"": 0.0, ""VEV_5000"": 8.0, ""VEV_5100"": 5.0, ""VEV_5200"": -27.0, ""VEV_5300"": -84.0, ""VEV_5400"": 6.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-28_02-50-03.log,C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\.dist\ablation\V4000_quote_hybrid.py,0,14.973,
